city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,rating,featureId,aggregate
,Illinois County,IL,USA,0,,,0,0,,,,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,,
,Chicago County,IL,USA,0,,,0,0,,,,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,,
,Suburban Cook County,IL,USA,0,,,0,0,,,,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,,
,Adams County,IL,USA,0,,,0,0,65691,39.9787775,-91.212524,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,0,
,Alexander County,IL,USA,0,,,0,0,6060,37.1527035,-89.32553899999999,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,1,
,Bond County,IL,USA,0,,,0,0,16630,38.884501,-89.4448145,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,2,
,Boone County,IL,USA,0,,,0,0,53577,42.323683,-88.822878,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,3,
,Brown County,IL,USA,0,,,0,0,6556,39.971889000000004,-90.71462349999999,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,4,
,Bureau County,IL,USA,0,,,0,0,32993,41.3669235,-89.51302799999999,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,5,
,Calhoun County,IL,USA,0,,,0,0,4802,39.134271999999996,-90.693794,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,6,
,Carroll County,IL,USA,0,,,0,0,14312,42.0640145,-90.0009245,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,7,
,Cass County,IL,USA,0,,,0,0,12260,39.9982515,-90.28896950000001,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,8,
,Champaign County,IL,USA,1,,,0,1,209983,40.139787999999996,-88.19621000000001,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,9,
,Christian County,IL,USA,0,,,0,0,32661,39.583156,-89.2802045,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,10,
,Clark County,IL,USA,0,,,0,0,15596,39.322432500000005,-87.77278000000001,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,11,
,Clay County,IL,USA,0,,,0,0,13253,38.7574025,-88.4735945,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,12,
,Clinton County,IL,USA,1,,,0,1,37639,38.579451500000005,-89.4227085,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,13,
,Coles County,IL,USA,0,,,0,0,50885,39.530221499999996,-88.216126,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,14,
,Cook County,IL,USA,77,,,0,77,5180493,41.811950499999995,-87.893711,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,15,
,Crawford County,IL,USA,0,,,0,0,18807,39.014365999999995,-87.731286,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,16,
,Cumberland County,IL,USA,1,,,0,1,10808,39.275043,-88.2394565,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,17,
,DeKalb County,IL,USA,0,,,0,0,104143,41.8909545,-88.765222,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,18,
,De Witt County,IL,USA,0,,,0,0,15769,40.1658715,-88.8618245,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,19,
,Douglas County,IL,USA,0,,,0,0,19479,39.7656955,-88.2051055,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,20,
,DuPage County,IL,USA,5,,,0,5,928589,41.8397805,-88.0886665,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,21,
,Edgar County,IL,USA,0,,,0,0,17360,39.679879,-87.750202,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,22,
,Edwards County,IL,USA,0,,,0,0,6392,38.4129205,-88.0448,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,23,
,Effingham County,IL,USA,0,,,0,0,34208,39.063554999999994,-88.58372399999999,http://www.dph.illinois.gov/sites/default/files/COVID19/COVID19CountyResults.json,0.43902439024390244,24,
