city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainers,curators,aggregate,rating,tz,featureId,sources
,,,AFG,110,4,,,,34124811,33.930139364000084,67.6895422770001,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Kabul""]",0,
,,,ALB,186,8,,,,3047987,41.11245290150006,20.154355916000085,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Europe/Tirane""]",1,
,,,DZA,409,26,,,,40969443,28.032339379000085,1.6432377520000898,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Africa/Algiers""]",2,
,,,AND,267,3,,,,85702,42.51501586950006,1.5681518960000886,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Europe/Andorra""]",3,
,,,AGO,4,0,,,,29310273,-11.211304219499908,17.89885628300003,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Africa/Luanda""]",4,
,,,ATG,7,0,,,,94731,17.098659572500083,-61.78465735599994,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""America/Antigua""]",5,
,,,ARG,589,13,,,,44293293,-38.42173074799991,-63.626654215499926,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""America/Argentina/Salta""]",6,
,,,ARM,329,1,,,,3045191,40.077076823500036,45.01914310700013,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Yerevan""]",7,
,,Tasmania,AUS,47,0,,,,534281,-41.60023365649994,146.16134687600004,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Australia/Hobart""]",8,
,,,AUT,7657,58,,,,8754413,47.71313527500007,13.334746337500093,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Europe/Vienna""]",9,
